name,parent_name,common_point_x,common_point_y,common_point_z,common_point_parent_x,common_point_parent_y,common_point_parent_z,notes,tx,ty,tz,rotation,scale,reg_metric
K336_kidney_VOI-4_2.196um_bm18,K336_kidney_complete-organ_20.022um_bm18,,,,,,,,,,,,,
K337_kidney_VOI-3_2.191um_bm18,K337_kidney_complete-organ_20.022um_bm18,,,,,,,,,,,,,
LADAF-2020-27_heart_L-vent-muscle_2.22um_bm05,LADAF-2020-27_heart_complete-organ_25.08um_bm05,2468.0,3252.0,136.0,2788.0,2339.0,3558.0,,2625.230560497797,2018.327139631631,3543.9270523661153,-10.100117314518169,0.08851658498342181,-0.19857142532125677
LADAF-2020-27_heart_LR-vent-muscles-ramus-interventricularis-anterior_6.05um_bm05,LADAF-2020-27_heart_complete-organ_25.08um_bm05,1936.0,2312.0,4992.0,3514.0,2172.0,4412.0,"Reg okay, but common point could be better",,,,,,
LADAF-2020-27_heart_ROI-01_6.5um_bm18,LADAF-2020-27_heart_complete-organ_19.89um_bm18,2278.0,2699.0,3835.0,3366.0,1885.0,3619.0,,2488.9425990591385,1132.948993534009,2364.5957184089807,9.200098157856559,0.3267973915416225,-0.5157239486875533
LADAF-2020-27_heart_ROI-02_6.5um_bm18,LADAF-2020-27_heart_complete-organ_19.89um_bm18,3478.0,2398.0,4730.0,6110.0,5025.0,4117.0,,4853.183764786352,4455.3952951560905,2572.2837098649,10.199946758553034,0.3267979230733007,-0.4460594925131479
LADAF-2020-27_heart_ROI-03_6.5um_bm18,LADAF-2020-27_heart_complete-organ_19.89um_bm18,1258.0,2266.0,130.0,4834.0,3581.0,4521.0,,4321.1244845276215,2910.294576572874,4469.824950220024,8.202617366733218,0.3267945825750399,-0.4171086612937245
LADAF-2020-27_kidney_left_central-column_6.05um_bm05,LADAF-2020-27_kidney_left_complete-organ_25.08um_bm05,660.0,1032.0,2728.0,1174.0,1464.0,1566.0,,1015.647710639054,1216.3270767034828,906.143929656302,-0.09977031883926162,0.24122780183119433,-0.6383036357162171
LADAF-2020-27_liver_complete-organ-bubbling_25.25um_bm05,LADAF-2020-27_liver_complete-organ_25.25um_bm05,,,,,,,,,,,,,
LADAF-2020-27_lung_left_VOI-01-upper-lobe-apical_2.45um_bm05,LADAF-2020-27_lung_left_complete-organ_25.08um_bm05,2287.0,2144.0,2192.0,2528.0,2071.0,1710.0,,2318.4394144810663,1849.001817582029,1493.227518704038,-3.499779265959912,0.0976873880912458,-0.16913708218735618
LADAF-2020-27_lung_left_VOI-02-lower-lobe-basal_2.45um_bm05,LADAF-2020-27_lung_left_complete-organ_25.08um_bm05,2736.0,2210.0,2240.0,2779.0,3490.0,6872.0,,2525.714584382665,3259.342468197947,6649.207402752265,-3.3998393636651034,0.0976873670295016,-0.2122994947718345
